Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
"1896-01-01,Athens,Aquatics,Swimming,""HAJOS, Alfred"",Men,100M Freestyle,Gold,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1896-01-01,Athens,Aquatics,Swimming,""HAJOS, Alfred"",Men,100M Freestyle,Gold,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1896-01-01,Athens,Aquatics,Swimming,""HERSCHMANN, Otto"",Men,100M Freestyle,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1896-01-01,Athens,Aquatics,Swimming,""HERSCHMANN, Otto"",Men,100M Freestyle,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1896-01-01,Athens,Aquatics,Swimming,""DRIVAS, Dimitrios"",Men,100M Freestyle For Sailors,Bronze,Greece,GRE,10823732.0,18002.230577668797,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1896-01-01,Athens,Aquatics,Swimming,""DRIVAS, Dimitrios"",Men,100M Freestyle For Sailors,Bronze,Greece,GRE,10823732.0,18002.230577668797,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1896-01-01,Athens,Aquatics,Swimming,""MALOKINIS, Ioannis"",Men,100M Freestyle For Sailors,Gold,Greece,GRE,10823732.0,18002.230577668797,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1896-01-01,Athens,Aquatics,Swimming,""MALOKINIS, Ioannis"",Men,100M Freestyle For Sailors,Gold,Greece,GRE,10823732.0,18002.230577668797,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1896-01-01,Athens,Aquatics,Swimming,""CHASAPIS, Spiridon"",Men,100M Freestyle For Sailors,Silver,Greece,GRE,10823732.0,18002.230577668797,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1896-01-01,Athens,Aquatics,Swimming,""CHASAPIS, Spiridon"",Men,100M Freestyle For Sailors,Silver,Greece,GRE,10823732.0,18002.230577668797,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
